school_code,school_name,sido,sigungu,education_office,school_type,postcode,address,student_count,teacher_count,counselor_count,students_per_counselor,wee_class_raw,wee_class,avg_teacher_counseling_count_3yr,avg_external_counseling_count_3yr,avg_total_counseling_count_3yr,counseling_years_available,counseling_count_per_student,norm_avg_total_counseling_count_3yr,norm_counseling_count_per_student,counseling_use_score,counseling_use_components_available
480041858,진주제일여자고등학교,경남,진주시,경남,일반고,52761,경상남도 진주시 하대로34번길 11-9(하대동. 진주제일여자고등학교),715,59,0,,Y,1,428.6666666666667,21.333333333333332,450.0,3,0.6293706293706294,0.49073064340239914,0.19383658166928128,0.3422836125358402,2
480041846,진주동명고등학교,경남,진주시,경남,일반고,52733,경상남도 진주시 대신로 454-25. 진주동명고등학교 (초전동),724,60,1,724.0,Y,1,101.0,0.0,101.0,3,0.13950276243093923,0.11014176663031625,0.04296472911371132,0.07655324787201379,2
480041430,진양고등학교,경남,진주시,경남,일반고,52853,경상남도 진주시 충의로100번길 12(충무공동),672,62,0,,Y,1,274.6666666666667,0.0,274.6666666666667,3,0.4087301587301588,0.29952744456561253,0.12588267246061924,0.21270505851311589,2
480041738,삼현여자고등학교,경남,진주시,경남,일반고,52805,경상남도 진주시 돗골로 95(상평동. 삼현여자고등학교),723,58,1,723.0,Y,1,210.0,3.3333333333333335,213.33333333333334,3,0.2950668510834486,0.232642675390767,0.09087610242494044,0.1617593889078537,2
480041440,진주고등학교,경남,진주시,경남,일반고,52747,경상남도 진주시 의곡길 29(상봉동. 진주고등학교),589,55,1,589.0,Y,1,500.0,7.333333333333333,507.3333333333333,3,0.8613469156762874,0.5532533624136677,0.26528174969497825,0.40926755605432297,2
480041672,대아고등학교,경남,진주시,경남,일반고,52669,경상남도 진주시 서장대로185번길 14(이현동.대아중고등학교),725,59,1,725.0,Y,1,320.6666666666667,10.0,330.6666666666667,3,0.4560919540229885,0.36059614685568886,0.14046938507932344,0.2505327659675062,2
480041636,경해여자고등학교,경남,진주시,경남,일반고,52651,경상남도 진주시 남강로 39(평거동),692,62,1,692.0,Y,1,245.33333333333334,0.0,245.33333333333334,3,0.35452793834296725,0.26753907669938204,0.10918921294973516,0.1883641448245586,2
480041862,창녕여자고등학교,경남,창녕군,경남,일반고,50330,경상남도 창녕군 창녕읍 신당길 30(창녕읍.창녕여자고등학교),233,30,1,233.0,Y,1,232.66666666666666,29.666666666666668,262.3333333333333,3,1.1258941344778255,0.28607778989458377,0.34675826955400707,0.31641802972429545,2
480041864,창녕고등학교,경남,창녕군,경남,일반고,50318,경상남도 창녕군 대지면 우포2로 1180-20(대지면. 창녕고등학교),133,18,0,,Y,1,133.66666666666666,5.0,138.66666666666666,3,1.0426065162907268,0.15121773900399854,0.32110694988421623,0.23616234444410739,2
480041937,창녕옥야고등학교,경남,창녕군,경남,일반고,50300,경상남도 창녕군 이방면 이방로 943-15. 창녕옥야고등학교,274,29,0,,Y,1,202.0,7.0,209.0,3,0.7627737226277372,0.22791712104689205,0.23492270544808636,0.2314199132474892,2
480041648,남지고등학교,경남,창녕군,경남,일반고,50355,경상남도 창녕군 남지읍 남고길 11(남지읍),364,34,1,364.0,Y,1,20.666666666666668,13.333333333333334,34.0,3,0.09340659340659341,0.03707742639040349,0.028767810136631426,0.03292261826351746,2
480041860,창녕대성고등학교,경남,창녕군,경남,일반고,50308,경상남도 창녕군 대합면 신안길 17창녕대성고등학교(대합면),110,19,1,110.0,Y,1,201.33333333333334,8.0,209.33333333333334,3,1.903030303030303,0.22828062522719011,0.5861043899066712,0.4071925075669307,2
480041710,영산고등학교,경남,창녕군,경남,일반고,50343,경상남도 창녕군 영산면 영산새싹길 13(영산면. 영산고등학교),193,26,0,,Y,1,150.0,21.0,171.0,3,0.8860103626943006,0.18647764449291168,0.2728777162670659,0.2296776803799888,2
480041932,창원토월고등학교,경남,창원시,경남,일반고,51451,경상남도 창원시 성산구 비음로91번길 8(토월동. 창원토월고등학교),510,47,0,,Y,1,191.66666666666666,4.666666666666667,196.33333333333334,3,0.38496732026143793,0.21410396219556527,0.11856407962424513,0.1663340209099052,2
480041690,마산중앙고등학교,경남,창원시,경남,일반고,51759,경상남도 창원시 마산합포구 고운로 103(신월동. 마산중앙고등학교),397,38,0,,Y,1,187.66666666666666,0.0,187.66666666666666,3,0.4727120067170445,0.20465285350781534,0.14558810853262585,0.1751204810202206,2
480041255,마산구암고등학교,경남,창원시,경남,일반고,51351,경상남도 창원시 마산회원구 팔용로 220(구암동. 마산구암고등학교),477,47,0,,Y,1,397.0,9.333333333333334,406.3333333333333,3,0.8518518518518519,0.44311159578335146,0.26235741444866917,0.35273450511601034,2
