school_name,sigungu,avg_teacher_counseling_count_3yr,avg_external_counseling_count_3yr,avg_total_counseling_count_3yr,counseling_years_available,counseling_count_per_student,norm_avg_total_counseling_count_3yr,norm_counseling_count_per_student,counseling_use_score,counseling_use_components_available
진해중앙고등학교,창원시,233.66666666666666,7.666666666666667,241.33333333333334,3,0.38306878306878306,0.26317702653580516,0.11797935904399781,0.19057819278990148,2
창신고등학교,창원시,39.333333333333336,5.333333333333333,44.666666666666664,3,0.07863849765258216,0.048709560159941837,0.024219461254217315,0.036464510707079574,2
마산무학여자고등학교,창원시,436.6666666666667,7.0,443.6666666666667,3,0.7571103526734927,0.4838240639767358,0.23317847363708327,0.3585012688069095,2
마산제일고등학교,창원시,0.0,8.333333333333334,8.333333333333334,3,0.01207729468599034,0.009087604507451837,0.0037196230781947432,0.00640361379282329,2
경상고등학교,창원시,62.666666666666664,6.666666666666667,69.33333333333333,3,0.13488975356679636,0.07560886950199927,0.04154399254338595,0.05857643102269261,2
마산용마고등학교,창원시,363.3333333333333,19.666666666666668,383.0,3,0.7323135755258127,0.4176663031624864,0.22554144341289287,0.32160387328768963,2
창원북면고등학교,창원시,158.66666666666666,0.0,158.66666666666666,3,0.18154080854309687,0.17302798982188294,0.05591180795433782,0.11446989888811038,2
창원남산고등학교,창원시,191.33333333333334,3.6666666666666665,195.0,3,0.37142857142857144,0.21264994547437296,0.11439435089625204,0.1635221481853125,2
창원명지여자고등학교,창원시,374.0,0.0,374.0,3,0.7318982387475538,0.4078516902944384,0.2254135260020983,0.3166326081482683,2
창원봉림고등학교,창원시,181.66666666666666,4.333333333333333,186.0,3,0.3639921722113503,0.20283533260632497,0.11210405303847669,0.15746969282240084,2
창원여자고등학교,창원시,363.0,4.333333333333333,367.3333333333333,3,0.8037928519328956,0.4005816066884769,0.24755597340899066,0.3240687900487338,2
창원성민여자고등학교,창원시,0.0,9.666666666666666,9.666666666666666,3,0.020055325034578145,0.010541621228644129,0.006176735086695169,0.00835917815766965,2
창원신월고등학교,창원시,552.6666666666666,0.0,552.6666666666666,3,1.0607805502239283,0.6026899309342058,0.32670427592447976,0.4646971034293428,2
진해여자고등학교,창원시,332.0,5.333333333333333,337.3333333333333,3,0.40642570281124496,0.3678662304616503,0.125172935086353,0.24651958277400166,2
창원중앙여자고등학교,창원시,300.6666666666667,0.0,300.6666666666667,3,0.7008547008547009,0.32788077062886223,0.21585258847616262,0.2718666795525124,2
마산내서여자고등학교,창원시,313.0,0.0,313.0,3,0.45296671490593343,0.34133042529989094,0.13950685896342435,0.24041864213165764,2
마산가포고등학교,창원시,298.6666666666667,0.3333333333333333,299.0,3,0.6780045351473923,0.3260632497273719,0.20881508496934895,0.26743916734836043,2
창원경일여자고등학교,창원시,312.6666666666667,10.0,322.6666666666667,3,1.071982281284607,0.3518720465285351,0.33015423872263555,0.34101314262558535,2
창원남고등학교,창원시,899.6666666666666,6.666666666666667,906.3333333333334,3,1.8534423994546694,0.9883678662304617,0.5708320697940236,0.7795999680122426,2
창원대암고등학교,창원시,242.0,13.0,255.0,3,0.49514563106796117,0.2780806979280262,0.15249732363690058,0.21528901078246337,2
진해고등학교,창원시,317.3333333333333,2.0,319.3333333333333,3,0.34448040273282987,0.3482370047255543,0.10609472479604265,0.22716586476079847,2
진해용원고등학교,창원시,365.6666666666667,4.666666666666667,370.3333333333333,3,0.4382642998027613,0.40385314431115954,0.13497873872252344,0.2694159415168415,2
마산삼진고등학교,창원시,571.3333333333334,40.0,611.3333333333334,3,1.2081686429512517,0.6666666666666667,0.37209756684049955,0.5193821167535831,2
진해세화여자고등학교,창원시,338.0,11.333333333333334,349.3333333333333,3,0.4955082742316785,0.38095238095238093,0.15260901221584014,0.2667806965841105,2
